# instrument NDL485-3084108474
# measurement 000100
# version 3.3.5, Helioscale-RSP-0-1.install
#
# configuration=Site
# siteName="SN1162 - Vietnam VNCEH"
# siteLatitude=12.7534,North
# siteLongitude=107.8761,East
# siteElevation=290
# siteInfo=SystemNumber,A017042
# siteInfo=DataLogger,"Wilmers Messtechnik GmbH, 0141, blueberry COMPACT, sn1162"
# timezone=UTC
#
# configuration=Measurement
# storeperiod=day
# highresarchive=yes
# highresfilelength=3600
# pollperiod=1
# statperiod=60
# compact_DIN1func="vWind10m (m/s)",FREQ_TTL,0.25,0.2,zerooff
# compact_AIN1func="uDR02 (V)",VOLTAGE,1,0
# compact_AIN2func="uIset1 (V)",VOLTAGE,1,0
# compact_AIN3func="uIset2 (V)",VOLTAGE,1,0
# compact_AIN4func="uIset3 (V)",VOLTAGE,1,0
# compact_AIN6func="DirWind (°)",DIR,1,0
# function="DniDR02 (W/m2)",{mean,sigma,max,min},"uDR02 / 0.00001221"
# function="DhiSR30 (W/m2)",{mean,sigma,max,min},"0.01 * c1"
# function="GhiSR30 (W/m2)",{mean,sigma,max,min},"0.01 * d1"
# function="GhiIset1 (W/m2)",{mean,sigma,max,min},"uIset1 / 0.000029660"
# function="GhiIset2 (W/m2)",{mean,sigma,max,min},"uIset2 / 0.000029517"
# function="GhiIset3 (W/m2)",{mean,sigma,max,min},"uIset3 / 0.000032023"
# function="TempSR30Dhi (°C)",mean,"0.01 * e1"
# function="TempSR30Ghi (°C)",mean,"0.01 * f1"
# function="TempIset1 (°C)",mean,"(-0.39083 + (0.39083^2 + 0.000231 * (100 - 100*(b2/b4)))^0.5) / (-0.0001155)"
# function="TempIset3 (°C)",mean,"(-0.39083 + (0.39083^2 + 0.000231 * (100 - 100*(b3/b5)))^0.5) / (-0.0001155)"
# function="TempLogger (°C)",{mean,max,min},TINT1
# function="TempAir (°C)",{mean,max,min},g1
# function="HumAir (%RH)",{mean,max,min},g3
# function="pBaro (hPa)",{mean,max,min},PAIR1
# function="uSupply (V)",{mean,max,min},POWER1
# function="iSupply (A)",{mean,max,min},POWER4
# function="PowSupply (W)",{mean,max,min},"0.1 * round (10* uSupply * iSupply)"
# function="uBat1 (V)",{mean,max,min},POWER2
# function="uBat2 (V)",{mean,max,min},POWER3
# function="Service (1=SwitchPressed)",max,"!b1"
# function="SolarElevation (°)",mean,"180*h1/3.1415926"
# function="DOUT1 (1 = DR02 Heater ON)",mean,"(SolarElevation > 0) * (SolarElevation < 10) * ((uBat1+uBat2)>24)"
# function="CalGhiRef (W/m2)",{mean,sigma,max,min},"0.01 * i1"
# function="CalDniRef (W/m2)",{mean,sigma,max,min},"VOLTAGE6 / 0.00001226"
# function="DOUT2 (1 = DniRef Heater ON)",mean,DOUT1
# pollbaudrate=19200
# pollchardelay=0
# pollteledelay=50
# polltimeout=0.5
# pollretry=0
# poll="#99d10s5s11i2i4\r",,,crc2
# poll="modbusrtu:1,4,2,2,lE",,"parity=even"
# poll="modbusrtu:2,4,2,2,lE",,"parity=even"
# poll="modbusrtu:1,4,6,1,i",,"parity=even"
# poll="modbusrtu:2,4,6,1,i",,"parity=even"
# poll="modbusrtu:247,4,25,6,f",,"parity=even"
# poll=current-solarposition
# poll="modbusrtu:3,4,2,2,lE",,"parity=even"

"date","time","period","vWind10m (m/s)_mean","vWind10m (m/s)_sigma","vWind10m (m/s)_max","vWind10m (m/s)_min","uDR02 (V)_mean","uDR02 (V)_sigma","uDR02 (V)_max","uDR02 (V)_min","uIset1 (V)_mean","uIset1 (V)_sigma","uIset1 (V)_max","uIset1 (V)_min","uIset2 (V)_mean","uIset2 (V)_sigma","uIset2 (V)_max","uIset2 (V)_min","uIset3 (V)_mean","uIset3 (V)_sigma","uIset3 (V)_max","uIset3 (V)_min","DirWind (°)_mean360","DirWind (°)_sigma","DniDR02 (W/m2)_mean","DniDR02 (W/m2)_sigma","DniDR02 (W/m2)_max","DniDR02 (W/m2)_min","DhiSR30 (W/m2)_mean","DhiSR30 (W/m2)_sigma","DhiSR30 (W/m2)_max","DhiSR30 (W/m2)_min","GhiSR30 (W/m2)_mean","GhiSR30 (W/m2)_sigma","GhiSR30 (W/m2)_max","GhiSR30 (W/m2)_min","GhiIset1 (W/m2)_mean","GhiIset1 (W/m2)_sigma","GhiIset1 (W/m2)_max","GhiIset1 (W/m2)_min","GhiIset2 (W/m2)_mean","GhiIset2 (W/m2)_sigma","GhiIset2 (W/m2)_max","GhiIset2 (W/m2)_min","GhiIset3 (W/m2)_mean","GhiIset3 (W/m2)_sigma","GhiIset3 (W/m2)_max","GhiIset3 (W/m2)_min","TempSR30Dhi (°C)_mean","TempSR30Ghi (°C)_mean","TempIset1 (°C)_mean","TempIset3 (°C)_mean","TempLogger (°C)_mean","TempLogger (°C)_max","TempLogger (°C)_min","TempAir (°C)_mean","TempAir (°C)_max","TempAir (°C)_min","HumAir (%RH)_mean","HumAir (%RH)_max","HumAir (%RH)_min","pBaro (hPa)_mean","pBaro (hPa)_max","pBaro (hPa)_min","uSupply (V)_mean","uSupply (V)_max","uSupply (V)_min","iSupply (A)_mean","iSupply (A)_max","iSupply (A)_min","PowSupply (W)_mean","PowSupply (W)_max","PowSupply (W)_min","uBat1 (V)_mean","uBat1 (V)_max","uBat1 (V)_min","uBat2 (V)_mean","uBat2 (V)_max","uBat2 (V)_min","Service (1=SwitchPressed)_max","SolarElevation (°)_mean","DOUT1 (1 = DR02 Heater ON)_mean","CalGhiRef (W/m2)_mean","CalGhiRef (W/m2)_sigma","CalGhiRef (W/m2)_max","CalGhiRef (W/m2)_min","CalDniRef (W/m2)_mean","CalDniRef (W/m2)_sigma","CalDniRef (W/m2)_max","CalDniRef (W/m2)_min","DOUT2 (1 = DniRef Heater ON)_mean"
2018-10-19,00:01:00,60,1.00192,0.120298,1.2775,0.7975,1.96667e-05,7.95124e-06,4e-05,1e-05,0.00427867,9.05808e-05,0.00443,0.00412,0.00425867,9.11677e-05,0.00442,0.00411,0.004602,0.000100047,0.00477,0.00443,206.236,0.0648555,1.6107,0.651206,3.276,0.819001,136.817,3.0355,141.81,131.6,138.539,3.21224,143.96,133.17,144.257,3.05392,149.359,138.908,144.278,3.08857,149.744,139.242,143.709,3.12422,148.955,138.338,30.36,30.1937,26.1624,26.1588,29.5833,29.61,29.56,24.1966,24.2307,24.1633,86.7917,87.0229,86.5795,979.964,980.02,979.92,25.0035,25.207,24.912,0.299517,0.37802,0.03604,7.48667,9.4,0.9,14.1843,14.238,14.12,14.2455,14.289,14.204,0,-45.457,0,nan,nan,nan,nan,171308,19.3266,171395,171289,0
2018-10-19,00:02:00,60,0.455083,0.186187,0.8825,0.2375,6.33333e-05,2.29976e-05,1e-04,3e-05,0.00460967,9.43922e-05,0.00476,0.00444,0.004582,9.42833e-05,0.00473,0.00442,0.00494867,0.000100986,0.00511,0.00477,206.214,0.103541,5.18701,1.88351,8.19001,2.457,146.627,2.56531,150.8,142.15,149.75,3.09629,154.67,144.34,155.417,3.18249,160.486,149.697,155.233,3.1942,160.247,149.744,154.535,3.1536,159.573,148.955,30.4353,30.279,26.2295,26.2708,29.6403,29.67,29.61,24.2658,24.2991,24.2336,86.6968,87.0906,86.4267,979.975,980.01,979.92,25.0574,25.266,24.938,0.264791,0.39473,0.03341,6.63333,9.9,0.8,14.1707,14.247,14.103,14.2517,14.28,14.221,0,-45.4033,0,nan,nan,nan,nan,171319,6.36213,171330,171305,0
2018-10-19,00:03:00,60,0.395083,0.157715,0.585,0,0.000139667,6.53954e-05,0.00024,1e-05,0.00490633,7.18092e-05,0.00503,0.00478,0.00487667,7.4848e-05,0.005,0.00474,0.00526667,8.06777e-05,0.0054,0.00512,206.256,0.0727955,11.4387,5.35588,19.656,0.819001,154.4,1.82414,157.12,151.06,159.43,2.35447,163.22,155.04,165.419,2.42111,169.589,161.16,165.215,2.5358,169.394,160.585,164.465,2.51945,168.629,159.885,30.5503,30.3873,26.8461,26.9293,29.687,29.71,29.66,24.3409,24.376,24.2964,87.027,87.1778,86.8495,979.992,980.05,979.96,25.1155,25.334,24.971,0.225289,0.38593,0.03692,5.65,9.7,0.9,14.1715,14.213,14.12,14.2519,14.272,14.221,0,-45.3512,0,nan,nan,nan,nan,171340,5.98665,171354,171330,0
2018-10-19,00:04:00,60,0.1425,0.136178,0.3225,0,-5e-06,6.19139e-06,0,-2e-05,0.00491967,2.21334e-05,0.00495,0.00487,0.00488433,1.70652e-05,0.00491,0.00485,0.00528133,2.20202e-05,0.00532,0.00524,206.27,0.160441,-0.4095,0.507075,0,-1.638,158.786,0.790723,159.66,157.26,160.146,0.790833,161.02,158.6,165.869,0.746091,166.891,164.194,165.475,0.578131,166.345,164.312,164.923,0.687651,166.131,163.632,30.679,30.4997,26.7837,27.0896,29.725,29.75,29.7,24.4303,24.47,24.3567,86.4079,87.0993,85.6599,980.033,980.08,979.98,25.1021,25.292,25.014,0.312498,0.38857,0.03604,7.83667,9.7,0.9,14.1902,14.23,14.112,14.2527,14.28,14.204,0,-45.2991,0,nan,nan,nan,nan,171360,7.49044,171370,171346,0
2018-10-19,00:05:00,60,0.363,0.217811,0.6525,0,-6.33333e-06,6.04612e-06,0,-2e-05,0.00490333,2.78488e-05,0.00494,0.00485,0.00486233,2.98533e-05,0.0049,0.0048,0.005261,2.73679e-05,0.00531,0.00521,206.276,0.0439436,-0.5187,0.495177,0,-1.638,158.921,0.5999,159.64,157.66,160.205,0.66495,161,158.83,165.318,0.9389,166.554,163.52,164.73,1.01131,166.006,162.618,164.288,0.854513,165.818,162.696,30.806,30.6123,27.2232,27.6559,29.7583,29.78,29.74,24.4983,24.5305,24.47,86.0667,86.4277,85.621,980.113,980.18,980.06,25.1273,25.342,25.056,0.294184,0.4044,0.03429,7.38667,10.1,0.9,14.186,14.247,14.086,14.2482,14.28,14.221,0,-45.2462,0,nan,nan,nan,nan,171381,9.26049,171395,171362,0
2018-10-19,00:06:00,60,0.490917,0.112351,0.5725,0,-9e-06,4.72582e-06,0,-2e-05,0.00474533,6.63693e-05,0.00484,0.00461,0.00470533,7.01775e-05,0.0048,0.00458,0.00509733,7.58478e-05,0.0052,0.00495,206.256,0.132544,-0.737101,0.387044,0,-1.638,154.5,2.11435,157.52,150.41,155.688,2.10864,158.69,151.61,159.991,2.23766,163.183,155.428,159.411,2.37748,162.618,155.165,159.177,2.36856,162.383,154.576,30.94,30.739,27.2917,27.6666,29.7913,29.81,29.77,24.5697,24.6069,24.5332,86.3518,86.4792,86.0907,980.198,980.27,980.15,25.1175,25.342,25.056,0.33471,0.39121,0.03868,8.40333,9.8,1,14.1842,14.247,14.137,14.2544,14.289,14.23,0,-45.1934,0,nan,nan,nan,nan,171405,6.33298,171419,171395,0
2018-10-19,00:07:00,60,0.36875,0.1336,0.5375,0,-7e-06,5.85947e-06,1e-05,-2e-05,0.00444667,9.07132e-05,0.00462,0.0043,0.004405,9.04341e-05,0.00456,0.00426,0.004777,9.84937e-05,0.00494,0.00462,206.237,0.14382,-0.573301,0.479891,0.819001,-1.638,144.809,2.95159,150.06,140.12,145.915,2.99912,151.24,141.12,149.921,3.05841,155.765,144.976,149.236,3.06369,154.487,144.324,149.174,3.07572,154.264,144.271,31.0617,30.8653,27.2283,27.7376,29.8293,29.85,29.81,24.6431,24.6694,24.6086,85.7946,86.0426,85.3003,980.249,980.3,980.17,25.097,25.216,25.005,0.322432,0.38857,0.04308,8.09,9.7,1.1,14.1819,14.238,14.145,14.2533,14.289,14.221,0,-45.137,0,nan,nan,nan,nan,171423,8.98493,171436,171411,0
2018-10-19,00:08:00,60,0.330833,0.100531,0.485,0,-5.33333e-06,4.98888e-06,0,-1e-05,0.00416433,6.16811e-05,0.0043,0.00409,0.00412767,5.97597e-05,0.00424,0.00405,0.004476,6.55032e-05,0.00461,0.00439,206.27,0.0782856,-0.436801,0.408589,0,-0.819001,136.139,1.82274,139.8,134.03,137.108,1.82059,140.83,135.05,140.402,2.07962,144.976,137.896,139.84,2.02458,143.646,137.209,139.775,2.0454,143.959,137.089,31.1763,30.9817,27.5155,28.0486,29.871,29.9,29.85,24.6898,24.7202,24.6462,85.3213,85.4385,85.1008,980.301,980.35,980.26,25.0693,25.157,25.005,0.323634,0.38418,0.1222,8.11667,9.6,3.1,14.1837,14.23,14.137,14.2478,14.28,14.213,0,-45.0827,0,nan,nan,nan,nan,171450,7.64083,171460,171436,0
2018-10-19,00:09:00,60,0.587583,0.343425,0.9675,0,-3.66667e-06,7.06321e-06,1e-05,-2e-05,0.00415933,6.32947e-05,0.00429,0.00409,0.004121,6.58964e-05,0.00427,0.00404,0.00447167,7.49704e-05,0.00463,0.00439,206.144,0.199939,-0.3003,0.578477,0.819001,-1.638,137.08,2.68501,142.77,134.04,138.113,2.68083,143.81,135.06,140.234,2.13402,144.639,137.896,139.614,2.23246,144.662,136.87,139.639,2.3412,144.584,137.089,31.2953,31.096,27.5276,28.0595,29.9137,29.93,29.89,24.7327,24.7512,24.7185,85.0657,85.3577,84.8827,980.338,980.38,980.31,25.0984,25.3,25.005,0.300395,0.40176,0.03516,7.53667,10.1,0.9,14.1743,14.238,14.12,14.2489,14.28,14.221,0,-45.0245,0,nan,nan,nan,nan,171510,32.8336,171558,171460,0
2018-10-19,00:10:00,60,0.881833,0.0658532,1.02,0.7525,2.93333e-05,2.63228e-05,7e-05,-1e-05,0.00467267,0.000239666,0.00509,0.00431,0.004635,0.000240052,0.00505,0.00429,0.00502733,0.000260601,0.00548,0.00464,205.742,0.12117,2.4024,2.15584,5.73301,-0.819001,154.822,7.74507,168.98,143.36,156.806,8.26245,171.03,144.44,157.541,8.08042,171.612,145.314,157.028,8.13259,171.088,145.34,156.991,8.1379,171.127,144.896,31.3927,31.2103,27.6685,28.2396,29.9547,29.98,29.93,24.7746,24.8,24.7517,85.0746,85.3313,84.7306,980.356,980.4,980.31,25.1099,25.182,25.03,0.344995,0.39121,0.29187,8.66333,9.8,7.3,14.1837,14.213,14.12,14.2478,14.28,14.221,0,-44.9666,0,nan,nan,nan,nan,171631,27.0071,171648,171550,0
