# instrument NDL485-3084108474
# measurement 000097
# version 3.3.5, Helioscale-RSP-0-1.install
#
# configuration=Site
# siteName="SN1162 - Vietnam VNCEH"
# siteLatitude=12.7534,North
# siteLongitude=107.8761,East
# siteElevation=290
# siteInfo=SystemNumber,A017042
# siteInfo=DataLogger,"Wilmers Messtechnik GmbH, 0141, blueberry COMPACT, sn1162"
# timezone=UTC
#
# configuration=Measurement
# storeperiod=day
# highresarchive=yes
# highresfilelength=3600
# pollperiod=1
# statperiod=60
# compact_DIN1func="vWind10m (m/s)",FREQ_TTL,0.25,0.2,zerooff
# compact_AIN1func="uDR02 (V)",VOLTAGE,1,0
# compact_AIN2func="uIset1 (V)",VOLTAGE,1,0
# compact_AIN3func="uIset2 (V)",VOLTAGE,1,0
# compact_AIN4func="uIset3 (V)",VOLTAGE,1,0
# compact_AIN6func="DirWind (°)",DIR,1,0
# function="DniDR02 (W/m2)",{mean,sigma,max,min},"uDR02 / 0.00001221"
# function="DhiSR30 (W/m2)",{mean,sigma,max,min},"0.01 * c1"
# function="GhiSR30 (W/m2)",{mean,sigma,max,min},"0.01 * d1"
# function="GhiIset1 (W/m2)",{mean,sigma,max,min},"uIset1 / 0.000029660"
# function="GhiIset2 (W/m2)",{mean,sigma,max,min},"uIset2 / 0.000029517"
# function="GhiIset3 (W/m2)",{mean,sigma,max,min},"uIset3 / 0.000032023"
# function="TempSR30Dhi (°C)",mean,"0.01 * e1"
# function="TempSR30Ghi (°C)",mean,"0.01 * f1"
# function="TempIset1 (°C)",mean,"(-0.39083 + (0.39083^2 + 0.000231 * (100 - 100*(b2/b4)))^0.5) / (-0.0001155)"
# function="TempIset3 (°C)",mean,"(-0.39083 + (0.39083^2 + 0.000231 * (100 - 100*(b3/b5)))^0.5) / (-0.0001155)"
# function="TempLogger (°C)",{mean,max,min},TINT1
# function="TempAir (°C)",{mean,max,min},g1
# function="HumAir (%RH)",{mean,max,min},g3
# function="pBaro (hPa)",{mean,max,min},PAIR1
# function="uSupply (V)",{mean,max,min},POWER1
# function="iSupply (A)",{mean,max,min},POWER4
# function="PowSupply (W)",{mean,max,min},"0.1 * round (10* uSupply * iSupply)"
# function="uBat1 (V)",{mean,max,min},POWER2
# function="uBat2 (V)",{mean,max,min},POWER3
# function="Service (1=SwitchPressed)",max,"!b1"
# function="SolarElevation (°)",mean,"180*h1/3.1415926"
# function="DOUT1 (1 = DR02 Heater ON)",mean,"(SolarElevation > 0) * (SolarElevation < 10) * ((uBat1+uBat2)>24)"
# pollbaudrate=19200
# pollchardelay=0
# pollteledelay=50
# polltimeout=0.5
# pollretry=0
# poll="#99d10s5s11i2i4\r",,,crc2
# poll="modbusrtu:1,4,2,2,lE",,"parity=even"
# poll="modbusrtu:2,4,2,2,lE",,"parity=even"
# poll="modbusrtu:1,4,6,1,i",,"parity=even"
# poll="modbusrtu:2,4,6,1,i",,"parity=even"
# poll="modbusrtu:247,4,25,6,f",,"parity=even"
# poll=current-solarposition

"date","time","period","vWind10m (m/s)_mean","vWind10m (m/s)_sigma","vWind10m (m/s)_max","vWind10m (m/s)_min","uDR02 (V)_mean","uDR02 (V)_sigma","uDR02 (V)_max","uDR02 (V)_min","uIset1 (V)_mean","uIset1 (V)_sigma","uIset1 (V)_max","uIset1 (V)_min","uIset2 (V)_mean","uIset2 (V)_sigma","uIset2 (V)_max","uIset2 (V)_min","uIset3 (V)_mean","uIset3 (V)_sigma","uIset3 (V)_max","uIset3 (V)_min","DirWind (°)_mean360","DirWind (°)_sigma","DniDR02 (W/m2)_mean","DniDR02 (W/m2)_sigma","DniDR02 (W/m2)_max","DniDR02 (W/m2)_min","DhiSR30 (W/m2)_mean","DhiSR30 (W/m2)_sigma","DhiSR30 (W/m2)_max","DhiSR30 (W/m2)_min","GhiSR30 (W/m2)_mean","GhiSR30 (W/m2)_sigma","GhiSR30 (W/m2)_max","GhiSR30 (W/m2)_min","GhiIset1 (W/m2)_mean","GhiIset1 (W/m2)_sigma","GhiIset1 (W/m2)_max","GhiIset1 (W/m2)_min","GhiIset2 (W/m2)_mean","GhiIset2 (W/m2)_sigma","GhiIset2 (W/m2)_max","GhiIset2 (W/m2)_min","GhiIset3 (W/m2)_mean","GhiIset3 (W/m2)_sigma","GhiIset3 (W/m2)_max","GhiIset3 (W/m2)_min","TempSR30Dhi (°C)_mean","TempSR30Ghi (°C)_mean","TempIset1 (°C)_mean","TempIset3 (°C)_mean","TempLogger (°C)_mean","TempLogger (°C)_max","TempLogger (°C)_min","TempAir (°C)_mean","TempAir (°C)_max","TempAir (°C)_min","HumAir (%RH)_mean","HumAir (%RH)_max","HumAir (%RH)_min","pBaro (hPa)_mean","pBaro (hPa)_max","pBaro (hPa)_min","uSupply (V)_mean","uSupply (V)_max","uSupply (V)_min","iSupply (A)_mean","iSupply (A)_max","iSupply (A)_min","PowSupply (W)_mean","PowSupply (W)_max","PowSupply (W)_min","uBat1 (V)_mean","uBat1 (V)_max","uBat1 (V)_min","uBat2 (V)_mean","uBat2 (V)_max","uBat2 (V)_min","Service (1=SwitchPressed)_max","SolarElevation (°)_mean","DOUT1 (1 = DR02 Heater ON)_mean"
2018-09-12,00:01:00,60,1.20558,0.307539,1.7825,0.7525,0.0001695,3.67163e-05,0.00025,0.00011,0.00732133,0.00101054,0.00801,0.00496,0.00739967,0.00102336,0.0081,0.00497,0.00789967,0.00107359,0.00863,0.00532,333.294,24.1758,13.8821,3.00706,20.475,9.00901,265.318,32.6252,288.86,179.54,299.914,37.378,323.66,201.17,246.842,34.0706,270.061,167.229,250.692,34.6702,274.418,168.378,246.687,33.5257,269.494,166.131,29.8215,29.8732,28.0107,29.8338,31.5245,31.55,31.49,24.7755,24.8225,24.748,86.5215,87.2885,85.7703,978.302,978.37,978.26,25.7743,25.907,25.586,0.311867,0.35604,0.25231,8.04167,9.2,6.5,14.1986,14.247,14.137,14.2691,14.28,14.247,0,-31.9773,0
2018-09-12,00:02:00,60,1.25137,0.131466,1.475,0.945,0.000347333,6.62789e-05,0.00046,0.00023,0.00798333,5.76098e-05,0.00803,0.00776,0.0080625,5.90939e-05,0.00812,0.00783,0.0085945,6.47926e-05,0.00866,0.00835,312.071,6.16519,28.4466,5.42824,37.674,18.837,288.635,2.29654,293.77,281.12,321.297,3.33047,323.83,309.14,269.162,1.94237,270.735,261.632,273.148,2.00201,275.096,265.271,268.385,2.02332,270.431,260.75,29.8868,29.9578,28.2996,30.1575,31.5833,31.61,31.55,24.8518,24.886,24.813,86.4842,87.2074,85.9658,978.325,978.36,978.28,25.9017,25.974,25.848,0.289187,0.34901,0.24791,7.48,9,6.4,14.2012,14.255,14.129,14.266,14.28,14.238,0,-31.9437,0
2018-09-12,00:03:00,60,1.01787,0.142962,1.3425,0.7975,0.0001855,9.43826e-05,0.00034,8e-05,0.00665283,0.00111887,0.00799,0.00507,0.00671033,0.00113723,0.00808,0.00509,0.00716083,0.00120968,0.00861,0.00544,306.292,0.0908577,15.1925,7.72993,27.846,6.55201,235.637,36.6011,283.1,182.95,266.308,44.4587,319.05,203.6,224.303,37.7232,269.386,170.937,227.338,38.528,273.741,172.443,223.615,37.7752,268.869,169.878,29.9843,30.0695,28.4605,30.3814,31.6417,31.68,31.61,24.932,24.9739,24.8879,87.1292,87.5542,86.201,978.346,978.38,978.28,25.8787,26.008,25.738,0.285817,0.34374,0.24703,7.39,8.9,6.4,14.1979,14.23,14.137,14.2645,14.297,14.238,0,-31.9082,0
2018-09-12,00:04:00,60,1.46238,0.205019,1.7225,0.885,0.000236667,8.74389e-05,0.00041,0.00012,0.00823033,8.41619e-05,0.00832,0.00783,0.008316,8.32706e-05,0.00839,0.00791,0.00887183,8.46265e-05,0.00896,0.00846,348.899,11.6656,19.383,7.16124,33.579,9.82801,274.042,4.87133,288.23,263.45,328.884,2.03815,331.11,317.93,277.489,2.83751,280.512,263.992,281.736,2.82111,284.243,267.981,277.046,2.64273,279.799,264.185,30.07,30.1618,28.796,30.7381,31.7023,31.74,31.67,25.0223,25.0757,24.9744,86.3494,86.8156,85.7003,978.372,978.43,978.3,26.0414,26.159,25.915,0.292689,0.34286,0.24879,7.61667,8.9,6.5,14.2004,14.23,14.162,14.2647,14.297,14.238,0,-31.8731,0
2018-09-12,00:05:00,60,1.71454,0.265916,2.105,1.1325,0.000386333,0.000147354,0.00056,0.00014,0.00797267,0.000582411,0.00848,0.00692,0.008047,0.000593811,0.00856,0.00698,0.00858267,0.000630431,0.00913,0.00746,13.658,19.9336,31.6407,12.0683,45.864,11.466,282.816,15.2812,298.98,252.6,315.644,23.7195,336.44,273.32,268.802,19.6362,285.907,233.311,272.623,20.1176,290.002,236.474,268.016,19.6867,285.108,232.958,30.1777,30.2975,29.1533,31.0827,31.7585,31.79,31.73,25.1326,25.1816,25.0791,86.0334,86.6987,85.539,978.38,978.43,978.33,26.1008,26.227,25.654,0.287854,0.34989,0.24879,7.51333,9.1,6.5,14.1984,14.255,14.137,14.2632,14.28,14.23,0,-31.8372,0
2018-09-12,00:06:00,60,1.66817,0.263851,2.2375,1.3475,0.000225833,5.6871e-05,0.00033,0.00015,0.00807883,0.000498465,0.00868,0.00715,0.00815967,0.000504004,0.00876,0.0072,0.00870633,0.00053115,0.00935,0.0077,337.933,27.8711,18.4958,4.65773,27.027,12.285,292.386,21.3591,317.17,249.98,320.038,19.0131,342.97,282.64,272.381,16.806,292.65,241.065,276.439,17.075,296.778,243.927,271.878,16.5866,291.978,240.452,30.3122,30.4368,29.4228,31.4035,31.8215,31.86,31.79,25.2206,25.2607,25.1809,85.9012,86.7287,85.4541,978.394,978.44,978.32,26.1571,26.227,26.016,0.304059,0.34813,0.24791,7.96,9.1,6.5,14.2032,14.221,14.129,14.267,14.289,14.247,0,-31.8,0
2018-09-12,00:07:00,60,1.36129,0.197494,1.9575,1.0025,0.000199167,5.28297e-05,0.00038,0.00014,0.00824717,0.000375966,0.00861,0.00747,0.00833483,0.000379058,0.0087,0.00757,0.008891,0.000397231,0.00927,0.00808,350.639,15.4667,16.3118,4.32675,31.122,11.466,295.678,13.0719,310.67,268.32,327.413,14.0277,340.32,297.29,278.057,12.6759,290.29,251.854,282.374,12.8421,294.745,256.462,277.644,12.4045,289.479,252.319,30.4252,30.5545,29.5423,31.5707,31.8877,31.92,31.85,25.2865,25.3103,25.2595,85.4763,86.6813,84.8231,978.403,978.46,978.33,26.2318,26.345,26.117,0.27792,0.33934,0.24527,7.28667,8.9,6.4,14.1932,14.23,14.137,14.2662,14.289,14.238,0,-31.7627,0
2018-09-12,00:08:00,60,1.98424,0.400027,2.6175,1.18,0.00062322,0.000102551,0.00076,0.00038,0.0085878,1.82328e-05,0.00862,0.00854,0.00867186,1.54563e-05,0.00869,0.00863,0.00925475,2.11817e-05,0.00928,0.0092,13.857,14.241,51.0418,8.39898,62.2441,31.122,287.017,5.48543,301.5,279.29,339.539,0.523678,340.31,338.33,289.541,0.614845,290.627,287.93,293.792,0.523817,294.407,292.374,289.003,0.661397,289.792,287.294,30.5158,30.6558,29.7885,31.8848,31.9586,32,31.92,25.3428,25.3806,25.3118,84.6719,85.4752,84.2281,978.408,978.45,978.35,26.2853,26.353,26.21,0.295831,0.34462,0.24352,7.76949,9.1,6.4,14.204,14.23,14.129,14.2645,14.289,14.238,0,-31.7241,0
2018-09-12,00:09:00,59,1.9925,0.178647,2.325,1.58,0.000697869,5.49251e-05,0.00081,0.00059,0.00862016,1.4765e-05,0.00865,0.00859,0.00870098,1.54395e-05,0.00874,0.00867,0.00929049,1.64393e-05,0.00934,0.00926,359.318,16.7523,57.1555,4.49839,66.3391,48.321,284.324,5.50337,296.24,274.78,339.674,0.318606,340.44,339.03,290.633,0.497648,291.639,289.616,294.779,0.522993,296.101,293.729,290.119,0.513447,291.665,289.167,30.6207,30.7664,29.9952,31.9952,32.0284,32.07,31.99,25.4148,25.4573,25.3809,84.165,85.6142,83.616,978.411,978.46,978.36,26.326,26.412,26.252,0.269588,0.3578,0.24264,7.08852,9.4,6.4,14.1912,14.23,14.129,14.2624,14.28,14.23,0,-31.6865,0
2018-09-12,00:10:00,60,1.83621,0.262217,2.4725,1.3675,0.000727,0.000100454,0.00086,0.0005,0.00870383,4.36307e-05,0.00879,0.00864,0.0087885,4.67912e-05,0.00888,0.00872,0.00938267,4.73239e-05,0.00947,0.00931,346.294,13.2928,59.5414,8.22721,70.4341,40.95,281.17,6.72485,296.56,271.83,341.988,1.3909,344.89,340.17,293.454,1.47096,296.359,291.301,297.744,1.58522,300.844,295.423,292.998,1.47776,295.725,290.729,30.7297,30.8998,30.2798,32.3112,32.0998,32.14,32.06,25.5089,25.5686,25.4583,85.8969,86.4083,85.5086,978.413,978.47,978.35,26.311,26.37,26.244,0.302095,0.35341,0.24703,7.95167,9.3,6.5,14.1917,14.23,14.137,14.2627,14.297,14.238,0,-31.6452,0
